 -2.24272881  0.000732486168 -0.807784284
 -2.24272881  0.0065906813 -0.807349291
 -2.24272881  0.0182980386 -0.804403477
 -2.24272881  0.0358365063 -0.794908651
 -2.24272881  0.0591790413 -0.773331582
 -2.24272881  0.088289651 -0.733836591
 -2.24272881  0.123123449 -0.672379811
 -2.24272881  0.163626724 -0.589170198
 -2.24272881  0.209737023 -0.490059965
 -2.24272881  0.261383248 -0.385415069
 -2.24272881  0.318485763 -0.286608358
 -2.24272881  0.380956521 -0.202215963
 -2.24272881  0.448699195 -0.136117895
 -2.24272881  0.521609333 -0.0879621931
 -2.24272881  0.599574512 -0.0548872168
 -2.24272881  0.682474515 -0.033224446
 -2.24272881  0.770181516 -0.0195731542
 -2.24272881  0.862560277 -0.0112437019
 -2.24272881  0.959468358 -0.00630347308
 -2.24272881  1.06075633 -0.00344924815
 -2.24272881  1.16626802 -0.00184156
 -2.24272881  1.27584074 -0.000959043192
 -2.24272881  1.38930552 -0.000487669036
 -2.24272881  1.50648742 -0.000243211723
 -2.24272881  1.62720575 -0.000120342424
 -2.24272881  1.75127437 -6.05435621E-05
 -2.24272881  1.87850198 -3.22812612E-05
 -2.24272881  2.0086924 -1.91127805E-05
 -2.24272881  2.14164489 -1.28180863E-05
 -2.24272881  2.27715443 -9.49544303E-06
 -2.24272881  2.4150121 -7.40707319E-06
 -2.24272881  2.55500532 -5.85075168E-06
 -2.24272881  2.69691823 -4.57472698E-06
 -2.24272881  2.84053201 -3.50204641E-06
 -2.24272881  2.98562522 -2.61687305E-06
 -2.24272881  3.13197414 -1.90773893E-06
 -2.24272881  3.2793531 -1.35590721E-06
 -2.24272881  3.42753487 -9.41866295E-07
 -2.24272881  3.57629095 -6.402934E-07
 -2.24272881  3.72539197 -4.25107369E-07
 -2.24272881  3.87460803 -2.76754303E-07
 -2.24272881  4.02370905 -1.77019443E-07
 -2.24272881  4.17246513 -1.104983E-07
 -2.24272881  4.3206469 -6.79349389E-08
 -2.24272881  4.46802586 -4.15293887E-08
 -2.24272881  4.61437478 -2.48520689E-08
 -2.24272881  4.75946799 -1.49331431E-08
 -2.24272881  4.90308177 -9.46307058E-09
 -2.24272881  5.04499468 -6.15837837E-09
 -2.24272881  5.1849879 -4.24498303E-09
 -2.24272881  5.32284557 -3.38110643E-09
 -2.24272881  5.45835511 -2.89841221E-09
 -2.24272881  5.5913076 -2.52927408E-09
 -2.24272881  5.72149802 -2.32782911E-09
 -2.24272881  5.84872563 -2.18274671E-09
 -2.24272881  5.97279425 -2.0251689E-09
 -2.24272881  6.09351258 -1.89400411E-09
 -2.24272881  6.21069448 -1.7670027E-09
 -2.24272881  6.32415926 -1.57421403E-09
 -2.24272881  6.43373198 -1.39640646E-09
 -2.24272881  6.53924367 -1.28371242E-09
 -2.24272881  6.64053164 -1.22657288E-09
 -2.24272881  6.73743972 -1.12158416E-09
 -2.24272881  6.82981848 -9.4505651E-10
 -2.24272881  6.91752549 -7.98711642E-10
 -2.24272881  7.00042549 -7.1140423E-10
 -2.24272881  7.07839067 -6.73057511E-10
 -2.24272881  7.1513008 -6.74783307E-10
 -2.24272881  7.21904348 -6.65726733E-10
 -2.24272881  7.28151424 -6.04631828E-10
 -2.24272881  7.33861675 -5.11173893E-10
 -2.24272881  7.39026298 -4.27802469E-10
 -2.24272881  7.43637328 -3.72928805E-10
 -2.24272881  7.47687655 -3.40569E-10
 -2.24272881  7.51171035 -3.1990616E-10
 -2.24272881  7.54082096 -3.05236793E-10
 -2.24272881  7.56416349 -2.95038193E-10
 -2.24272881  7.58170196 -2.88769726E-10
 -2.24272881  7.59340932 -2.85531609E-10
 -2.24272881  7.59926751 -2.84258386E-10
