  0.5273127E+00     0.1461609E+03    -0.7431272E-02     0.6736530E-04     0.1399780E-04     0.1353077E+01
  0.2776827E+01     0.1456325E+03     0.1378572E-01     0.3721016E-03     0.3683873E-04     0.3146198E+01
  0.6817629E+01     0.1429076E+03     0.8151684E-01     0.9087749E-03     0.1006790E-03     0.4933750E+01
  0.1264025E+02     0.1354833E+03     0.2654946E+00     0.1682226E-02     0.1925254E-03     0.6709116E+01
  0.2023055E+02     0.1215102E+03     0.6092538E+00     0.2688666E-02     0.3165188E-03     0.8468592E+01
  0.2957123E+02     0.1017469E+03     0.1087840E+01     0.3923119E-02     0.4786109E-03     0.1020950E+02
  0.4064282E+02     0.7970328E+02     0.1604608E+01     0.5379875E-02     0.6856108E-03     0.1193025E+02
  0.5342487E+02     0.5928571E+02     0.2052904E+01     0.7053163E-02     0.9426439E-03     0.1363046E+02
  0.6789720E+02     0.4266932E+02     0.2372120E+01     0.8936752E-02     0.1250694E-02     0.1531109E+02
  0.8404131E+02     0.3017496E+02     0.2551854E+01     0.1102161E-01     0.1605047E-02     0.1697453E+02
  0.1018418E+03     0.2116769E+02     0.2609337E+01     0.1329172E-01     0.1994439E-02     0.1862464E+02
  0.1212879E+03     0.1479429E+02     0.2570442E+01     0.1571733E-01     0.2406333E-02     0.2026684E+02
  0.1423751E+03     0.1030896E+02     0.2460712E+01     0.1824428E-01     0.2860547E-02     0.2190812E+02
  0.1651067E+03     0.7149469E+01     0.2302621E+01     0.2085632E-01     0.3138241E-02     0.2355711E+02
  0.1894953E+03     0.4916766E+01     0.2114556E+01     0.2341788E-01     0.3373655E-02     0.2522407E+02
  0.2155648E+03     0.3334069E+01     0.1910872E+01     0.2585219E-01     0.3536147E-02     0.2692099E+02
  0.2433519E+03     0.2211248E+01     0.1702944E+01     0.2808360E-01     0.3330236E-02     0.2866167E+02
  0.2729080E+03     0.1416040E+01     0.1498242E+01     0.3005434E-01     0.2842672E-02     0.3046187E+02
  0.3043014E+03     0.8569672E+00     0.1302574E+01     0.3174771E-01     0.1984152E-02     0.3233943E+02
  0.3376193E+03     0.4689834E+00     0.1119300E+01     0.3327671E-01     0.5745115E-03     0.3431457E+02
  0.3729706E+03     0.2051677E+00     0.9506782E+00     0.3482288E-01    -0.1462359E-02     0.3641020E+02
  0.4104885E+03     0.3038890E-01     0.7989545E+00     0.3638888E-01    -0.3894992E-02     0.3865230E+02
  0.4503339E+03    -0.8283214E-01     0.6656868E+00     0.3738203E-01    -0.6589833E-02     0.4107050E+02
  0.4926995E+03    -0.1540492E+00     0.5512657E+00     0.3648698E-01    -0.9106933E-02     0.4369874E+02
  0.5378143E+03    -0.1938340E+00     0.4520566E+00     0.3285278E-01    -0.1137667E-01     0.4657611E+02
  0.5859497E+03    -0.2068476E+00     0.3637152E+00     0.2732568E-01    -0.1311723E-01     0.4974794E+02
  0.6374259E+03    -0.1988135E+00     0.2849311E+00     0.2118438E-01    -0.1437881E-01     0.5326718E+02
  0.6926205E+03    -0.1772688E+00     0.2167394E+00     0.1520620E-01    -0.1502971E-01     0.5719603E+02
  0.7519789E+03    -0.1485460E+00     0.1597720E+00     0.9805247E-02    -0.1510781E-01     0.6160818E+02
  0.8160271E+03    -0.1181230E+00     0.1138779E+00     0.5371086E-02    -0.1457472E-01     0.6659151E+02
  0.8853873E+03    -0.8905129E-01     0.7831665E-01     0.2023287E-02    -0.1348385E-01     0.7225162E+02
  0.9607982E+03    -0.6396600E-01     0.5188252E-01    -0.1375235E-03    -0.1194004E-01     0.7871634E+02
  0.1043140E+04    -0.4375576E-01     0.3298989E-01    -0.1283658E-02    -0.1011597E-01     0.8614162E+02
  0.1133465E+04    -0.2833284E-01     0.2013851E-01    -0.1676650E-02    -0.8159110E-02     0.9471922E+02
  0.1233041E+04    -0.1764674E-01     0.1179368E-01    -0.1524500E-02    -0.6294268E-02     0.1046869E+03
  0.1343400E+04    -0.1042048E-01     0.6582791E-02    -0.1178335E-02    -0.4628691E-02     0.1163419E+03
  0.1466411E+04    -0.5810032E-02     0.3495306E-02    -0.8025203E-03    -0.3245376E-02     0.1300596E+03
  0.1604365E+04    -0.3155629E-02     0.1768538E-02    -0.4608116E-03    -0.2186507E-02     0.1463183E+03
  0.1760098E+04    -0.1649511E-02     0.8312009E-03    -0.2271857E-03    -0.1416373E-02     0.1657338E+03
  0.1937150E+04    -0.8001299E-03     0.3497021E-03    -0.9700969E-04    -0.8799050E-03     0.1891087E+03
  0.2139984E+04    -0.3663873E-03     0.1239293E-03    -0.2882849E-04    -0.5275872E-03     0.2175013E+03
  0.2374291E+04    -0.1753714E-03     0.3338617E-04     0.6843994E-05    -0.3080516E-03     0.2523262E+03
  0.2647413E+04    -0.7756565E-04    -0.2293501E-05     0.1514183E-04    -0.1739928E-03     0.2955030E+03
  0.2968952E+04    -0.3032987E-04    -0.1199143E-04     0.1322820E-04    -0.9499671E-04     0.3496793E+03
  0.3351660E+04    -0.1042131E-04    -0.1119220E-04     0.9329160E-05    -0.5023347E-04     0.4185748E+03
  0.3812759E+04    -0.3095637E-05    -0.7631775E-05     0.5921491E-05    -0.2573377E-04     0.5075232E+03
  0.4375958E+04    -0.1446887E-05    -0.4132229E-05     0.3742972E-05    -0.1282846E-04     0.6243532E+03
  0.5074622E+04    -0.4882199E-06    -0.2128351E-05     0.2031450E-05    -0.6138560E-05     0.7808626E+03
  0.5956900E+04    -0.1076145E-06    -0.1007778E-05     0.1012791E-05    -0.2803935E-05     0.9953794E+03
  0.7094337E+04    -0.5883363E-08    -0.4300267E-06     0.4767920E-06    -0.1214659E-05     0.1297399E+04
  0.8596963E+04     0.9313258E-08    -0.1638779E-06     0.2116527E-06    -0.4939155E-06     0.1736401E+04
  0.1064109E+05     0.6134711E-08    -0.5503445E-07     0.8738965E-07    -0.1858999E-06     0.2399608E+04
  0.1352366E+05     0.2462970E-08    -0.1595054E-07     0.3272669E-07    -0.6353451E-07     0.3450337E+04
  0.1777682E+05     0.7180454E-09    -0.3860293E-08     0.1067382E-07    -0.1919346E-07     0.5218187E+04
  0.2443253E+05     0.1358068E-09    -0.7328318E-09     0.2812895E-08    -0.4932792E-08     0.8435358E+04
  0.3571331E+05     0.3405576E-12    -0.9322725E-10     0.5327835E-09    -0.1015907E-08     0.1494973E+05
  0.5715868E+05    -0.1406895E-12    -0.8327959E-11     0.7211921E-10    -0.1469142E-09     0.3033835E+05
  0.1059753E+06    -0.1055323E-13    -0.3627924E-12     0.5794711E-11    -0.1191747E-10     0.7669168E+05
  0.2601890E+06    -0.1495269E-15    -0.3941607E-14     0.1574133E-12    -0.3179797E-12     0.2947991E+06
  0.1370155E+07    -0.3192052E-19    -0.9521599E-18     0.2042585E-15    -0.4062803E-15     0.3515798E+07
    

      WJC-2 (10/23/09)
 60  102.31006
       Q                U0               W2               VT               VS               S
