 30 30
-0.222450E+01  0.100000E-01  0.300000E-01  0.600000E-01  0.900000E-01  0.140000E+00
 0.220000E+00  0.350000E+00  0.500000E+00  0.700000E+00  0.105000E+01  0.150000E+01
 0.200000E+01  0.270000E+01  0.400000E+01  0.550000E+01  0.750000E+01  0.110000E+02
 0.160000E+02  0.220000E+02  0.320000E+02  0.400000E+02  0.500000E+02  0.600000E+02
 0.820000E+02  0.103000E+03  0.125000E+03  0.150000E+03  0.175000E+03  0.190000E+03
 0.369900E-02  0.195931E-01  0.486144E-01  0.915211E-01  0.149448E+00  0.223965E+00
 0.317161E+00  0.431745E+00  0.571186E+00  0.739898E+00  0.943462E+00  0.118890E+01
 0.148502E+01  0.184268E+01  0.227511E+01  0.279777E+01  0.342762E+01  0.418075E+01
 0.506704E+01  0.608011E+01  0.718128E+01  0.828092E+01  0.923000E+01  0.984519E+01
 0.106753E+02  0.133879E+02  0.176138E+02  0.223862E+02  0.266121E+02  0.293247E+02
 0.950457E-02  0.223598E-01  0.358081E-01  0.501933E-01  0.659203E-01  0.834613E-01
 0.103380E+00  0.126362E+00  0.153252E+00  0.185097E+00  0.223196E+00  0.269149E+00
 0.324886E+00  0.392643E+00  0.474795E+00  0.573391E+00  0.689085E+00  0.818983E+00
 0.952804E+00  0.106722E+01  0.112040E+01  0.105368E+01  0.812660E+00  0.391775E+00
 0.171324E+01  0.360762E+01  0.467914E+01  0.467914E+01  0.360762E+01  0.171324E+01
 0.559403E+01 -0.186468E+01 -0.473775E-04  0.556593E+01 -0.185531E+01 -0.132075E-02
 0.541905E+01 -0.180635E+01 -0.791824E-02  0.500451E+01 -0.166817E+01 -0.259307E-01
 0.419784E+01 -0.139928E+01 -0.578708E-01  0.305206E+01 -0.101735E+01 -0.940391E-01
 0.185693E+01 -0.618975E+00 -0.113777E+00  0.933120E+00 -0.311040E+00 -0.104528E+00
 0.388608E+00 -0.129536E+00 -0.746891E-01  0.134433E+00 -0.448112E-01 -0.421908E-01
 0.380254E-01 -0.126751E-01 -0.187295E-01  0.840765E-02 -0.280255E-02 -0.624025E-02
 0.135497E-02 -0.451656E-03 -0.134316E-02  0.173774E-03 -0.579246E-04 -0.574794E-04
 0.437272E-04 -0.145757E-04  0.795891E-04  0.168803E-04 -0.562676E-05  0.312730E-04
 0.359554E-05 -0.119851E-05  0.545849E-05  0.265806E-06 -0.886019E-07  0.346393E-06
 0.353192E-09 -0.117731E-09 -0.317578E-09  0.421312E-08 -0.140437E-08  0.767130E-08
 0.101570E-08 -0.338568E-09  0.183996E-08  0.938323E-10 -0.312774E-10  0.154614E-09
 0.771197E-11 -0.257066E-11  0.657953E-11  0.158852E-11 -0.529506E-12 -0.375139E-12
 0.235557E-12 -0.785190E-13 -0.233628E-12  0.611484E-15 -0.203828E-15  0.541841E-15
 0.140775E-15 -0.469248E-16  0.561665E-16  0.404837E-18 -0.134946E-18 -0.329430E-18
