PdfType: replica
Format: lhagrid1
---
1.00000E-07 1.58489E-07 2.51189E-07 3.98107E-07 6.30957E-07 1.00000E-06 1.58489E-06 2.51189E-06 3.98107E-06 6.30957E-06 1.00000E-05 1.58489E-05 2.51189E-05 3.98107E-05 6.30957E-05 1.00000E-04 1.58489E-04 2.51189E-04 3.98107E-04 6.30957E-04 1.00000E-03 1.58489E-03 2.51189E-03 3.98107E-03 6.30957E-03 1.00000E-02 1.25893E-02 1.58489E-02 1.99526E-02 2.51189E-02 3.16228E-02 3.98107E-02 5.01187E-02 6.30957E-02 7.94328E-02 1.00000E-01 1.25900E-01 1.58500E-01 1.99500E-01 2.51200E-01 3.16200E-01 3.98100E-01 5.01200E-01 6.31000E-01 7.94300E-01 1.00000E+00
1.00000E+00 1.09854E+00 1.20679E+00 1.32571E+00 1.45635E+00 1.59986E+00 1.75751E+00 1.93070E+00 2.12095E+00 2.32995E+00 2.55955E+00 2.81177E+00 3.08884E+00 3.39322E+00 3.72759E+00 4.09492E+00 4.49843E+00 4.94171E+00 5.42868E+00 5.96362E+00 6.55129E+00 7.19686E+00 7.90604E+00 8.68511E+00 9.54095E+00 1.04811E+01 1.15140E+01 1.26486E+01 1.38950E+01 1.52642E+01 1.67683E+01 1.84207E+01 2.02359E+01 2.22300E+01 2.44205E+01 2.68270E+01 2.94705E+01 3.23746E+01 3.55648E+01 3.90694E+01 4.29193E+01 4.71487E+01 5.17947E+01 5.68987E+01 6.25055E+01 6.86649E+01 7.54312E+01 8.28643E+01 9.10298E+01 1.00000E+02
-5 -4 -3 -2 -1 0 1 2 3 4 5
0.00000E+00 0.00000E+00 -6.43164E-02 2.50852E+00 2.51292E+00 -3.06183E+00 2.50834E+00 2.51195E+00 -6.41847E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -6.13936E-02 2.26333E+00 2.26801E+00 -2.83245E+00 2.26354E+00 2.26848E+00 -6.13544E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.90621E-02 2.04138E+00 2.04634E+00 -2.62662E+00 2.04150E+00 2.04686E+00 -5.90608E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.72433E-02 1.84044E+00 1.84570E+00 -2.44192E+00 1.84042E+00 1.84595E+00 -5.72520E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.58784E-02 1.65847E+00 1.66404E+00 -2.27641E+00 1.65839E+00 1.66415E+00 -5.58857E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.49163E-02 1.49363E+00 1.49952E+00 -2.12847E+00 1.49356E+00 1.49969E+00 -5.49191E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.43065E-02 1.34427E+00 1.35049E+00 -1.99662E+00 1.34425E+00 1.35086E+00 -5.43059E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.39966E-02 1.20888E+00 1.21546E+00 -1.87951E+00 1.20892E+00 1.21610E+00 -5.39944E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.39300E-02 1.08613E+00 1.09309E+00 -1.77593E+00 1.08623E+00 1.09403E+00 -5.39277E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.40449E-02 9.74841E-01 9.82192E-01 -1.68479E+00 9.74976E-01 9.83450E-01 -5.40433E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.42725E-02 8.73928E-01 8.81683E-01 -1.60511E+00 8.74098E-01 8.83315E-01 -5.42720E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.45356E-02 7.82439E-01 7.90604E-01 -1.53598E+00 7.82659E-01 7.92709E-01 -5.45359E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.47462E-02 6.99526E-01 7.08095E-01 -1.47648E+00 6.99831E-01 7.10834E-01 -5.47469E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.48028E-02 6.24440E-01 6.33396E-01 -1.42552E+00 6.24892E-01 6.36995E-01 -5.48036E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.45884E-02 5.56522E-01 5.65827E-01 -1.38170E+00 5.57216E-01 5.70595E-01 -5.45891E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.39670E-02 4.95203E-01 5.04787E-01 -1.34302E+00 4.96278E-01 5.11133E-01 -5.39677E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.27796E-02 4.39990E-01 4.49743E-01 -1.30650E+00 4.41659E-01 4.58209E-01 -5.27803E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.08378E-02 3.90469E-01 4.00222E-01 -1.26772E+00 3.93051E-01 4.11526E-01 -5.08387E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.79134E-02 3.46299E-01 3.55804E-01 -1.22017E+00 3.50273E-01 3.70904E-01 -4.79146E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.37218E-02 3.07211E-01 3.16113E-01 -1.15454E+00 3.13296E-01 3.36295E-01 -4.37235E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.78975E-02 2.73010E-01 2.80823E-01 -1.05797E+00 2.82272E-01 3.07812E-01 -3.79000E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.99625E-02 2.43579E-01 2.49664E-01 -9.13656E-01 2.57589E-01 2.85784E-01 -2.99663E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -1.92969E-02 2.18891E-01 2.22440E-01 -7.01319E-01 2.39918E-01 2.70830E-01 -1.93025E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.14688E-03 1.99000E-01 1.99064E-01 -3.99856E-01 2.30264E-01 2.63977E-01 -5.15531E-03 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.32458E-02 1.84009E-01 1.79577E-01 5.86884E-03 2.29958E-01 2.66810E-01 1.32328E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 3.62153E-02 1.73971E-01 1.64107E-01 5.11328E-01 2.40534E-01 2.81617E-01 3.61950E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 4.91756E-02 1.70759E-01 1.57899E-01 7.89364E-01 2.50353E-01 2.94437E-01 4.91499E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 6.26744E-02 1.68657E-01 1.52668E-01 1.07028E+00 2.63359E-01 3.11449E-01 6.26417E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 7.60670E-02 1.67522E-01 1.48307E-01 1.33775E+00 2.79583E-01 3.33121E-01 7.60252E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 8.83835E-02 1.67130E-01 1.44612E-01 1.57081E+00 2.98936E-01 3.59914E-01 8.83297E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 9.83094E-02 1.67139E-01 1.41238E-01 1.74535E+00 3.21165E-01 3.92240E-01 9.82408E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.04258E-01 1.67059E-01 1.37667E-01 1.83770E+00 3.45804E-01 4.30406E-01 1.04173E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.04598E-01 1.66190E-01 1.33200E-01 1.83048E+00 3.72106E-01 4.74529E-01 1.04503E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 9.80862E-02 1.63563E-01 1.26989E-01 1.72052E+00 3.98938E-01 5.24413E-01 9.80168E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 8.44939E-02 1.57872E-01 1.18148E-01 1.52608E+00 4.24638E-01 5.79353E-01 8.45626E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 6.52226E-02 1.47506E-01 1.05956E-01 1.28848E+00 4.46809E-01 6.37788E-01 6.57310E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 4.35063E-02 1.30826E-01 9.01359E-02 1.06090E+00 4.62113E-01 6.96684E-01 4.51273E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 2.37172E-02 1.06980E-01 7.11843E-02 8.81920E-01 4.66137E-01 7.50417E-01 2.76378E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 9.57281E-03 7.72560E-02 5.05833E-02 7.44878E-01 4.53505E-01 7.89280E-01 1.71773E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 2.18353E-03 4.61181E-02 3.06947E-02 5.95858E-01 4.18006E-01 7.97958E-01 1.36576E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -9.50411E-05 2.06051E-02 1.44741E-02 3.91297E-01 3.53553E-01 7.55264E-01 1.21301E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 9.23286E-04 5.82196E-03 4.19856E-03 1.71374E-01 2.57393E-01 6.39297E-01 7.64154E-03 0.00000E+00 0.00000E+00
