PdfType: replica
Format: lhagrid1
---
   1.0000000000000001E-009   1.4508287784959398E-009   2.1049041445120207E-009   3.0538555088334157E-009   4.4306214575838816E-009   6.4280731172843209E-009   9.3260334688321995E-009   1.3530477745798068E-008   1.9630406500402714E-008   2.8480358684358022E-008   4.1320124001153370E-008   5.9948425031894094E-008   8.6974900261778356E-008   1.2618568830660210E-007   1.8307382802953678E-007   2.6560877829466870E-007   3.8535285937105315E-007   5.5908101825122239E-007   8.1113083078968731E-007   1.1768119524349981E-006   1.7073526474706905E-006   2.4770763559917115E-006   3.5938136638046262E-006   5.2140082879996849E-006   7.5646332755462914E-006   1.0974987654930569E-005   1.5922827933410941E-005   2.3101297000831580E-005   3.3516026509388410E-005   4.8626015800653536E-005   7.0548023107186455E-005   1.0235310218990269E-004   1.4849682622544667E-004   2.1544346900318823E-004   3.1257158496882353E-004   4.5348785081285824E-004   6.5793322465756835E-004   9.5454845666183481E-004   1.3848863713938717E-003   2.0092330025650459E-003   2.9150530628251760E-003   4.2292428743894986E-003   6.1359072734131761E-003   8.9021508544503934E-003   1.2915496650148829E-002   1.8738174228603830E-002   2.7185882427329403E-002   3.9442060594376556E-002   5.7223676593502207E-002   8.3021756813197525E-002  0.10000000000000001       0.11836734693877551       0.13673469387755102       0.15510204081632653       0.17346938775510204       0.19183673469387758       0.21020408163265308       0.22857142857142856       0.24693877551020407       0.26530612244897961       0.28367346938775512       0.30204081632653063       0.32040816326530613       0.33877551020408170       0.35714285714285710       0.37551020408163271       0.39387755102040811       0.41224489795918373       0.43061224489795924       0.44897959183673475       0.46734693877551026       0.48571428571428565       0.50408163265306127       0.52244897959183678       0.54081632653061229       0.55918367346938780       0.57755102040816331       0.59591836734693870       0.61428571428571421       0.63265306122448983       0.65102040816326534       0.66938775510204085       0.68775510204081625       0.70612244897959175       0.72448979591836737       0.74285714285714288       0.76122448979591839       0.77959183673469379       0.79795918367346941       0.81632653061224492       0.83469387755102042       0.85306122448979593       0.87142857142857133       0.88979591836734695       0.90816326530612246       0.92653061224489797       0.94489795918367347       0.96326530612244898       0.98163265306122449        1.0000000000000000     
  0.99999999999999989        1.0768843285925549        1.1642787193942459        1.2640246654080958        1.3783565426534774        1.5099999999999998     
  -5 -4 -3 -2 -1 21  1  2  3  4  5
 0.0000000E+00  0.0000000E+00  4.2195708E-01  4.2188993E-01  4.2188993E-01 -6.4459628E-01  4.2194697E-01  4.2194697E-01  4.2195714E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.7165465E-01  3.7158525E-01  3.7158525E-01 -1.2259151E+00  3.7164466E-01  3.7164466E-01  3.7165470E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.2147136E-01  3.2139972E-01  3.2139972E-01 -2.0074748E+00  3.2146151E-01  3.2146150E-01  3.2147141E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.7820593E-01  2.7813204E-01  2.7813205E-01 -3.0028269E+00  2.7819621E-01  2.7819620E-01  2.7820597E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.4982074E-01  2.4974461E-01  2.4974461E-01 -4.1967319E+00  2.4981116E-01  2.4981114E-01  2.4982077E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.4546785E-01  2.4538948E-01  2.4538948E-01 -5.5338742E+00  2.4545842E-01  2.4545840E-01  2.4546788E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  4.1477775E-01  4.1469652E-01  4.1469652E-01 -6.8437481E-01  4.1476737E-01  4.1476736E-01  4.1477788E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.6496470E-01  3.6488085E-01  3.6488085E-01 -1.2772803E+00  3.6495448E-01  3.6495448E-01  3.6496481E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.1626567E-01  3.1617921E-01  3.1617921E-01 -2.0595253E+00  3.1625564E-01  3.1625563E-01  3.1626577E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.7523715E-01  2.7514807E-01  2.7514808E-01 -3.0370101E+00  2.7522730E-01  2.7522729E-01  2.7523724E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.4946526E-01  2.4937358E-01  2.4937358E-01 -4.1862727E+00  2.4945561E-01  2.4945560E-01  2.4946534E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.4758792E-01  2.4749364E-01  2.4749364E-01 -5.4441725E+00  2.4757848E-01  2.4757846E-01  2.4758799E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  4.0685337E-01  4.0675532E-01  4.0675532E-01 -7.2835965E-01  4.0684267E-01  4.0684266E-01  4.0685334E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.5761724E-01  3.5751616E-01  3.5751616E-01 -1.3319826E+00  3.5760681E-01  3.5760680E-01  3.5761722E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  3.1044788E-01  3.1034377E-01  3.1034378E-01 -2.1134379E+00  3.1043771E-01  3.1043770E-01  3.1044786E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.7164584E-01  2.7153871E-01  2.7153871E-01 -3.0713018E+00  2.7163594E-01  2.7163592E-01  2.7164582E-01  0.0000000E+00  0.0000000E+00
