PdfType: replica
Format: lhagrid1
---
   1.0000000000000001E-009   1.4508287784959398E-009   2.1049041445120207E-009   3.0538555088334157E-009   4.4306214575838816E-009   6.4280731172843209E-009   9.3260334688321995E-009   1.3530477745798068E-008   1.9630406500402714E-008   2.8480358684358022E-008   4.1320124001153370E-008   5.9948425031894094E-008   8.6974900261778356E-008   1.2618568830660210E-007   1.8307382802953678E-007   2.6560877829466870E-007   3.8535285937105315E-007   5.5908101825122239E-007   8.1113083078968731E-007   1.1768119524349981E-006   1.7073526474706905E-006   2.4770763559917115E-006   3.5938136638046262E-006   5.2140082879996849E-006   7.5646332755462914E-006   1.0974987654930569E-005   1.5922827933410941E-005   2.3101297000831580E-005   3.3516026509388410E-005   4.8626015800653536E-005   7.0548023107186455E-005   1.0235310218990269E-004   1.4849682622544667E-004   2.1544346900318823E-004   3.1257158496882353E-004   4.5348785081285824E-004   6.5793322465756835E-004   9.5454845666183481E-004   1.3848863713938717E-003   2.0092330025650459E-003   2.9150530628251760E-003   4.2292428743894986E-003   6.1359072734131761E-003   8.9021508544503934E-003   1.2915496650148829E-002   1.8738174228603830E-002   2.7185882427329403E-002   3.9442060594376556E-002   5.7223676593502207E-002   8.3021756813197525E-002  0.10000000000000001       0.11836734693877551       0.13673469387755102       0.15510204081632653       0.17346938775510204       0.19183673469387758       0.21020408163265308       0.22857142857142856       0.24693877551020407       0.26530612244897961       0.28367346938775512       0.30204081632653063       0.32040816326530613       0.33877551020408170       0.35714285714285710       0.37551020408163271       0.39387755102040811       0.41224489795918373       0.43061224489795924       0.44897959183673475       0.46734693877551026       0.48571428571428565       0.50408163265306127       0.52244897959183678       0.54081632653061229       0.55918367346938780       0.57755102040816331       0.59591836734693870       0.61428571428571421       0.63265306122448983       0.65102040816326534       0.66938775510204085       0.68775510204081625       0.70612244897959175       0.72448979591836737       0.74285714285714288       0.76122448979591839       0.77959183673469379       0.79795918367346941       0.81632653061224492       0.83469387755102042       0.85306122448979593       0.87142857142857133       0.88979591836734695       0.90816326530612246       0.92653061224489797       0.94489795918367347       0.96326530612244898       0.98163265306122449        1.0000000000000000     
  0.99999999999999989        1.0768843285925549        1.1642787193942459        1.2640246654080958        1.3783565426534774        1.5099999999999998     
  -5 -4 -3 -2 -1 21  1  2  3  4  5
 0.0000000E+00  0.0000000E+00 -1.7491214E+00  1.1461641E+00  1.1461582E+00  9.1042480E-09  1.1462022E+00  1.1461964E+00 -1.7491212E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.6933499E+00  1.1835464E+00  1.1835403E+00  6.5162872E-01  1.1835859E+00  1.1835799E+00 -1.6933497E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.6052988E+00  1.2536456E+00  1.2536393E+00  1.6235649E+00  1.2536867E+00  1.2536805E+00 -1.6052986E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.4753771E+00  1.3660337E+00  1.3660272E+00  3.0357234E+00  1.3660763E+00  1.3660698E+00 -1.4753769E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.2928293E+00  1.5314470E+00  1.5314403E+00  5.0515698E+00  1.5314911E+00  1.5314844E+00 -1.2928292E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.0456680E+00  1.7618547E+00  1.7618477E+00  7.8880602E+00  1.7619003E+00  1.7618934E+00 -1.0456679E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.6318715E+00  1.0832005E+00  1.0831936E+00  1.3514317E-08  1.0832460E+00  1.0832390E+00 -1.6318711E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.5780100E+00  1.1200862E+00  1.1200791E+00  6.3989319E-01  1.1201335E+00  1.1201263E+00 -1.5780097E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.4932551E+00  1.1882692E+00  1.1882619E+00  1.5920537E+00  1.1883183E+00  1.1883109E+00 -1.4932548E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.3687222E+00  1.2966161E+00  1.2966085E+00  2.9728420E+00  1.2966670E+00  1.2966593E+00 -1.3687219E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.1945012E+00  1.4550194E+00  1.4550115E+00  4.9397643E+00  1.4550721E+00  1.4550642E+00 -1.1945010E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -9.5959687E-01  1.6744574E+00  1.6744493E+00  7.7003677E+00  1.6745120E+00  1.6745038E+00 -9.5959661E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.5239321E+00  1.0249729E+00  1.0249646E+00  2.0069167E-08  1.0250279E+00  1.0250195E+00 -1.5239321E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.4718886E+00  1.0613422E+00  1.0613337E+00  6.2834002E-01  1.0613993E+00  1.0613907E+00 -1.4718886E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.3902997E+00  1.1276294E+00  1.1276206E+00  1.5609483E+00  1.1276886E+00  1.1276797E+00 -1.3902997E+00  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00 -1.2709501E+00  1.2320334E+00  1.2320242E+00  2.9105524E+00  1.2320947E+00  1.2320855E+00 -1.2709500E+00  0.0000000E+00  0.0000000E+00
