 RS,Rtau,  xF   ,obs,units,  value  ,   stat ,   syst  
3.88E+01,1.79E-01,2.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.37E+00,2.82E-01,1.13E-01
3.88E+01,1.92E-01,2.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.05E+00,2.36E-01,1.17E-01
3.88E+01,2.05E-01,2.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.87E+00,2.04E-01,9.31E-02
3.88E+01,2.18E-01,2.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.86E+00,1.96E-01,6.32E-02
3.88E+01,2.90E-01,2.31E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.76E-01,1.39E-01,4.39E-02
3.88E+01,3.18E-01,2.26E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.10E+00,8.19E-01,6.49E-01
3.88E+01,3.41E-01,2.26E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.45E+00,1.89E+00,4.05E-01
3.88E+01,1.15E-01,2.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.28E+01,5.39E-01,2.91E-01
3.88E+01,1.28E-01,2.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.05E+01,5.12E-01,1.81E-01
3.88E+01,1.40E-01,2.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.55E+00,4.42E-01,2.11E-01
3.88E+01,1.53E-01,2.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.84E+00,3.17E-01,2.01E-01
3.88E+01,1.67E-01,2.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.87E+00,2.73E-01,1.55E-01
3.88E+01,1.79E-01,2.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.65E+00,2.18E-01,8.68E-02
3.88E+01,1.92E-01,2.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.45E+00,1.84E-01,8.12E-02
3.88E+01,2.05E-01,2.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.05E+00,1.74E-01,6.16E-02
3.88E+01,2.18E-01,2.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.80E+00,1.59E-01,6.10E-02
3.88E+01,2.90E-01,2.78E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.23E-01,1.14E-01,5.79E-02
3.88E+01,3.17E-01,2.82E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.04E-01,1.78E-01,5.44E-02
3.88E+01,3.44E-01,2.78E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.89E-01,3.48E-01,6.03E-02
3.88E+01,1.15E-01,3.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.04E+01,4.84E-01,2.18E-01
3.88E+01,1.28E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.25E+00,4.34E-01,2.11E-01
3.88E+01,1.41E-01,3.26E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.22E+00,3.17E-01,1.97E-01
3.88E+01,1.54E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.12E+00,2.41E-01,1.26E-01
3.88E+01,1.66E-01,3.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.93E+00,2.07E-01,8.66E-02
3.88E+01,1.79E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.21E+00,1.86E-01,1.06E-01
3.88E+01,1.92E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.52E+00,1.57E-01,7.98E-02
3.88E+01,2.05E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.62E+00,1.47E-01,5.07E-02
3.88E+01,2.18E-01,3.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.32E+00,1.39E-01,4.53E-02
3.88E+01,2.92E-01,3.26E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.87E-01,8.61E-02,5.52E-02
3.88E+01,3.16E-01,3.28E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.01E+00,5.17E-01,5.01E-02
3.88E+01,3.43E-01,3.29E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.16E-01,1.87E-01,4.46E-02
3.88E+01,1.15E-01,3.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.18E+00,4.33E-01,2.54E-01
3.88E+01,1.28E-01,3.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.84E+00,3.35E-01,2.36E-01
3.88E+01,1.41E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.14E+00,4.05E-01,4.88E-01
3.88E+01,1.54E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.00E+00,2.76E-01,1.71E-01
3.88E+01,1.67E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.04E+00,1.70E-01,7.06E-02
3.88E+01,1.79E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.46E+00,1.55E-01,9.65E-02
3.88E+01,1.92E-01,3.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.80E+00,1.27E-01,8.66E-02
3.88E+01,2.05E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.31E+00,1.30E-01,6.32E-02
3.88E+01,2.18E-01,3.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.99E+00,1.14E-01,4.26E-02
3.88E+01,2.92E-01,3.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.48E-01,7.59E-02,5.37E-03
3.88E+01,3.16E-01,3.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.62E-01,6.54E-02,1.38E-02
3.88E+01,3.47E-01,3.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.96E-01,2.01E-01,1.37E-02
3.88E+01,1.15E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.75E+00,3.85E-01,2.35E-01
3.88E+01,1.28E-01,4.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.57E+00,2.62E-01,1.59E-01
3.88E+01,1.41E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.32E+00,2.02E-01,1.34E-01
3.88E+01,1.54E-01,4.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.94E+00,1.60E-01,8.52E-02
